UNITNAME,code,colour
Bulgin Creek Granite,SDghb,#f57ab6
Bulgin Creek Granite/h,SDghb/h,#f594cf
Bulgin Creek Granite/m,SDghb/m,#f5619c
Bull Creek Granite/a,Pgkb/a,#f57ab6
Bull Creek Granite/gd,Pgkb/gd,#ff94cf
Bull Creek Granite/md,Pgkb/md,#c24782
Bull Creek Granite/mg,Pgkb/mg,#f57ab6
Bull Creek Granite/mt,Pgkb/mt,#ffade8
Bull Creek Granite/pg,Pgkb/pg,#db619c
Bullhead Granite,Pgwb,#a80084
Bullock Creek Granite,Sgbu,#ff8c73
Bullseye Rhyolite/c,Pb/c,#ccd9ff
Bullseye Rhyolite/r,Pb/r,#99b5ff
Bullseye Rhyolite/r?,Pb/r?,#99b5ff
Bullseye Rhyolite/s,Pb/s,#4069ff
Bullseye Rhyolite/t,Pb/t,#668fff
Bullseye Rhyolite/t?,Pb/t?,#668fff
Bulluburrah Granodiorite,Cgobu,#cd6666
Bulmung Sandstone Member,PLmh/3,#f0dbb8
Bulmung Sandstone Member?,PLmh/3?,#f0dbb8
Bulonga Volcanics,PLvb,#d19661
Bulonga Volcanics/f,PLvb/f,#bd824c
Bulonga Volcanics/q,PLvb/q,#854a14
Bulonga Volcanics/s,PLvb/s,#9e632e
Bulonga Volcanics?,PLvb?,#d19661
Bundock Creek Group,DCb,#c29ed7
Bundock Creek Group?,DCb?,#c29ed7
Bungabilly Granite,Cgou,#c23385
Bungabilly Granite?,Cgou?,#c23385
Bungil Formation,Kyb,#20d600
Bunira Granite,Dgbu,#ffebe8
Bunk Creek Granite,Pgyb,#f57a7a
Bunkers Hill Granite,Ogbu,#ff4c80
Burangoo Sandstone,PLsu,#e6a68c
Burdekin Formation,Dfb,#867a99
Burdekin Formation?,Dfb?,#867a99
Burges Formation,Dwb,#d9d1e6
Burke Granite,Cgobr,#f299ff
Burlington Granite,Cgzb,#ffb3bf
Burlington Granite-alteration,Cgzb/a,#ffccd9
Burns Granite,Dgu,#ffd1de
Burstall Granite,PLgwb,#ba2b30
Burstall Granite/l,PLgwb/l,#ed5e63
Burstall Granite/m,PLgwb/m,#ff787d
Burstall Granite/mg,PLgwb/mg,#d96666
Burstall Granite/tp,PLgwb/tp,#ff9eab
Burton Lagoon Granite,Dgbl,#ffa6f2
Bushy Park Gneiss,PLgwy,#ff2952
Bustlem Microgranite,Pglu,#f573b5
Butterfly Granite,Cgtu,#a80084
Butters Creek Granite,Cgzu,#e6bfbf
Butters Creek Granite-alteration,Cgzu/a,#e6a6a6
CP/br-7962,CP/br,#ffb300
CP/bx-7864,CP/bx,#ed5192
CPbx-7862,CPbx,#ed5192
CPbx-HODG,CPbx,#ed5192
CPbx-SF55-02,CPbx,#d6dee0
CPd-7865,CPd,#1926c9
CPg-7558,CPg,#de3156
CPg-7862,CPg,#de3156
CPg-SD55-13,CPg,#de3156
CPg-SE5509,CPg,#de3156
CPg-SE5514,CPg,#de3156
CPg-SF5501,CPg,#de3156
CPg/3-SE5509,CPg/3,#ffa6ff
CPg/4-SE5509,CPg/4,#c40d3d
CPg/6-8357,CPg/6,#ff3847
CPg/a-7765,CPg/a,#ff4033
CPg/a-8159,CPg/a,#ff4033
CPg/a-8258,CPg/a,#ff4033
"CPg/a-8258,CPg/d-8258","CPg/a,CPg/d",#ff4033
CPg/b-NCON,CPg/b,#d13380
CPg/c-7864,CPg/c,#cd6666
CPg/d-8159,CPg/d,#eb3cf0
CPg/d-SE5510,CPg/d,#6940ff
CPg/g-SF55-02,CPg/g,#fc6694
CPg/gd-7559,CPg/gd,#b8466e
CPg/gd-SF55-02,CPg/gd,#ffccff
CPg/h-NCON,CPg/h,#eb3696
CPg/i-8258,CPg/i,#bf4d9f
"CPg/i-8258,CPg/a-8258,CPg/d-8258","CPg/i,CPg/a,CPg/d",#bf4d9f
CPg/m-7961,CPg/m,#ffbfb3
CPg?-QLD,CPg?,#de3156
CPg\a/a-7864,CPg\a/a,#ba4444
CPg\d-7964,CPg\d,#9173ff
