X,Y,Z,azimuth,dip,polarity,formation,source
538629.75433365,7499701.13002922,505.62759988209,323.1103372259647,13.64625177246701,1,Jeerinah_Formation,contact_orientations
536582.47959845,7499129.865453266,503.819657053778,341.7726906697053,3.676665115381653,1,Jeerinah_Formation,contact_orientations
534074.2086106839,7499028.317216309,510.0689631553761,3.486509833703394,12.55781708773594,1,Jeerinah_Formation,contact_orientations
531408.960051105,7499404.58590978,521.8237207197742,359.0712202996579,30.78911798406132,1,Jeerinah_Formation,contact_orientations
530142.0153361501,7499647.07046245,514.6300475586983,359.0834555502919,33.568771796829715,1,Jeerinah_Formation,contact_orientations
528450.13406347,7499343.80142681,506.0714878171148,358.4693983603969,33.38482590449072,1,Jeerinah_Formation,contact_orientations
525399.8681901663,7499027.295671806,498.3963285611821,358.15083059260576,31.36944699536556,1,Jeerinah_Formation,contact_orientations
523515.520733973,7498566.9765602015,504.8562651925671,299.18143795418,14.005990422625956,1,Jeerinah_Formation,contact_orientations
522248.941400525,7497947.21471341,491.1150937388395,341.03554498554206,28.573293708320108,1,Jeerinah_Formation,contact_orientations
520224.3137770976,7496898.120269109,504.1547218523077,274.41374494156673,42.83713960847547,1,Jeerinah_Formation,contact_orientations
550483.85583774,7512989.620528525,612.4719264324166,351.55872470249426,15.495002402495956,1,Jeerinah_Formation,contact_orientations
548801.915474765,7511600.149637479,593.5281162920403,315.6151958160851,13.302231354730594,1,Jeerinah_Formation,contact_orientations
521146.79007337,7511529.255415685,603.8489236900687,154.8422240725423,8.850166864815407,1,Marra_Mamba_Iron_Formation,contact_orientations
522288.0315101479,7512010.0391104305,579.0973717281703,171.71152056443145,7.399558322874952,1,Marra_Mamba_Iron_Formation,contact_orientations
523532.48060964,7513037.533494705,609.171043531012,99.99080872739944,12.25841812512084,1,Marra_Mamba_Iron_Formation,contact_orientations
524569.753621045,7515161.041141745,627.2477293034959,145.89040247146903,17.641663480207853,1,Marra_Mamba_Iron_Formation,contact_orientations
550309.3557031599,7514394.124750805,700.8651333807701,6.982950254327591,14.37451444501825,1,Marra_Mamba_Iron_Formation,contact_orientations
548161.773933365,7513463.883997715,690.2304844525461,350.2370809027053,4.834730254222009,1,Marra_Mamba_Iron_Formation,contact_orientations
547203.1251353691,7512308.518062824,657.5354842581273,320.38036656916336,7.770201535685118,1,Marra_Mamba_Iron_Formation,contact_orientations
546806.1859556499,7511259.639988519,661.0727972592572,302.2217071280322,12.104789596903544,1,Marra_Mamba_Iron_Formation,contact_orientations
546089.2294451101,7510280.1455523055,725.133232606098,343.4284640112194,13.705019361517104,1,Marra_Mamba_Iron_Formation,contact_orientations
545054.53340295,7508694.645979975,713.8070328137385,294.1766301930344,13.691742713730946,1,Marra_Mamba_Iron_Formation,contact_orientations
544182.4399388151,7507187.6489529405,604.5244157837014,287.00869355740133,4.6956569238438135,1,Marra_Mamba_Iron_Formation,contact_orientations
543014.774363445,7505048.899740695,595.0135293298902,301.43605591659974,15.467802457938705,1,Marra_Mamba_Iron_Formation,contact_orientations
540883.509193125,7503539.649308975,593.9768272430429,337.92377603901946,27.48257542389152,1,Marra_Mamba_Iron_Formation,contact_orientations
538601.69557654,7502473.14492743,633.2935177405869,357.1270801986278,25.53468668361667,1,Marra_Mamba_Iron_Formation,contact_orientations
537327.0552544349,7501897.636403974,575.4533507235597,307.3692747755932,22.73899957822292,1,Marra_Mamba_Iron_Formation,contact_orientations
